"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene126",0.16433720866056,0.327582475735335,-151.562158408824,-155.4902897762,7,2,438.54427950426,0,0,FALSE
"gene127",0.540886760961311,0.714006043585772,-147.126691214334,-149.156423261316,7,2,470.223602451912,0,0,FALSE
"gene128",0.431877611019835,0.627425100755208,-131.48892769538,-133.924220276545,7,2,212.927848062225,0,0,FALSE
"gene129",0.0306858214699774,0.0872582601042011,-124.684156612759,-130.8429548488,7,2,202.983969682319,0,0,FALSE
"gene130",0.894554345843199,0.935441554768122,-156.988123211898,-157.815482459821,7,2,523.350200427978,0,0,FALSE
"gene131",0.523700685989942,0.706113284480821,-148.750992515964,-150.841353899609,7,2,536.616385787934,0,0,FALSE
"gene132",0.751471276481864,0.877203824687001,-107.452549962353,-108.785033022418,7,2,65.877189696034,0,0,FALSE
"gene133",0.67571982492845,0.814120270998133,-95.9587775555874,-97.5375240011101,7,2,34.5607911218325,0,0,FALSE
"gene134",0.4366386399842,0.632809623165507,-155.290727913779,-157.707072212222,7,2,590.34977311601,0,0,FALSE
"gene135",0.66497851968701,0.812601042387385,-163.252503895356,-164.866188215106,7,2,948.628479251746,0,0,FALSE
"gene136",0.462549774062733,0.664189401054389,-148.249222395059,-150.564721891427,7,2,551.8298790401,0,0,FALSE
"gene137",0.813719008961268,0.897388676944143,-156.887700341745,-158.012229397737,7,2,492.85087642825,0,0,FALSE
"gene138",0.504129538455295,0.692120519326996,-150.471976753339,-152.632674433253,7,2,533.21740583827,0,0,FALSE
"gene139",0.230002242156546,0.411944314310232,-167.293333335561,-170.731493410549,7,2,979.467270913271,0,0,FALSE
"gene140",0.884919885582439,0.932303039167644,-156.971795904652,-157.837497879365,7,2,453.449141232995,0,0,FALSE
"gene141",0.516587614651905,0.699667198174137,-160.976727463963,-163.092484896071,7,2,594.248896172448,0,0,FALSE
"gene142",0.0758058098816475,0.176978544470772,-147.660312037495,-152.65027900402,7,2,525.909047420699,0,0,FALSE
"gene143",0.897013554389508,0.935441554768122,-136.518819546926,-137.336202164942,7,2,229.912640244071,0,0,FALSE
"gene144",0.801858720117985,0.894266230614853,-137.684771401815,-138.849744539467,7,2,247.208946945857,0,0,FALSE
"gene145",0.202984052851145,0.382988778964425,-157.112153611459,-160.73511272985,7,2,726.286320437133,0,0,FALSE
"gene146",0.694959604541667,0.825283249715586,-146.106444949813,-147.622745274662,7,2,402.676800729522,0,0,FALSE
"gene147",0.252509067465984,0.440422792091832,-122.890517053244,-126.188228315547,7,2,163.72616428993,0,0,FALSE
"gene148",0.487162853137801,0.681346647745176,-164.086709615925,-166.309627933834,7,2,693.331468397471,0,0,FALSE
"gene149",0.771791547994077,0.887253631366565,-114.328996828088,-115.594588835753,7,2,94.4513549549366,0,0,FALSE
"gene150",0.217864366506138,0.403452530566923,-161.682485256057,-165.201248345281,7,2,903.862820844153,0,0,FALSE
"gene151",0.172831374849818,0.34111455562464,-163.135845858371,-166.991904492803,7,2,623.324460257597,0,0,FALSE
"gene152",0.127880412108628,0.266417525226308,-158.038861623895,-162.319666247551,7,2,564.412917757772,0,0,FALSE
"gene153",0.0911823257770879,0.206450548929256,-139.308895062526,-144.051862996548,7,2,304.973239022672,0,0,FALSE
"gene154",0.401480135713477,0.606770985964952,-148.069431071743,-150.629143329259,7,2,363.974893617665,0,0,FALSE
"gene155",0.585331363901326,0.747231528384672,-157.264596480862,-159.141655597857,7,2,462.322958484226,0,0,FALSE
"gene156",0.829440878408789,0.899130172186507,-127.372058302971,-128.44210381295,7,2,150.41388552771,0,0,FALSE
"gene157",0.0558793064190228,0.14087220105636,-149.434237506591,-154.825201578412,7,2,530.46633641601,0,0,FALSE
"gene158",0.26605187944026,0.457209702059031,-109.871773044561,-113.089902459658,7,2,76.817683207009,0,0,FALSE
"gene159",0.82996804464831,0.899130172186507,-135.313977307064,-136.382176285618,7,2,249.681875053956,0,0,FALSE
"gene160",0.708866054898877,0.835477960470388,-131.525127755851,-132.996326917778,7,2,209.963391790849,0,0,FALSE
"gene161",0.470410037355331,0.670457533109183,-131.078138734878,-133.363753753608,7,2,237.999603088566,0,0,FALSE
"gene162",0.68226696578422,0.817781343557054,-172.085403997939,-173.642886212769,7,2,971.54082994512,0,0,FALSE
"gene163",0.247509817814118,0.435501145713991,-147.438276758378,-150.766256251971,7,2,411.183072042918,0,0,FALSE
"gene164",0.851821692099643,0.908347221777433,-163.68824612846,-164.678550280961,7,2,766.76872728571,0,0,FALSE
"gene165",0.155097705991489,0.312984916635617,-159.781890981454,-163.792248174985,7,2,815.970628329484,0,0,FALSE
"gene166",0.899801083198185,0.935473377120925,-145.296648364471,-146.102620841396,7,2,362.892863835142,0,0,FALSE
"gene167",0.979509652384997,0.985229511901967,-102.769493148757,-103.149530956133,7,2,59.2985604917642,0,0,FALSE
"gene168",0.272513548843502,0.462743116467125,-139.793081722886,-142.974404026556,7,2,308.877247093797,0,0,FALSE
"gene169",0.838022291561255,0.904340602404232,-159.943085173322,-160.982894312049,7,2,751.322519270115,0,0,FALSE
"gene170",0.84518497248033,0.90796783186672,-144.840777963082,-145.855037508211,7,2,303.031292922774,0,0,FALSE
"gene171",0.669084042971244,0.813064900225003,-162.252750853571,-163.853072477425,7,2,606.132931124832,0,0,FALSE
"gene172",0.981257822837387,0.985229511901967,-157.219203677494,-157.584411161166,7,2,724.230408951864,0,0,FALSE
"gene173",0.490584446916672,0.682948185962885,-166.863797366234,-169.07406859296,7,2,824.650911979056,0,0,FALSE
"gene174",0.555318101864793,0.726882420757929,-142.037722064803,-144.017276858765,7,2,371.224203561312,0,0,FALSE
"gene175",0.226899431625415,0.410275141915557,-144.666416630896,-148.124832870408,7,2,372.167248312332,0,0,FALSE
"gene176",0.259914863953317,0.449420514040317,-157.524798088942,-160.77856790093,7,2,841.480083030853,0,0,FALSE
"gene177",0.470843767722427,0.670457533109183,-158.362236545168,-160.646211506537,7,2,549.881969697679,0,0,FALSE
"gene178",0.789211843489868,0.887253631366565,-156.479718578079,-157.68730707599,7,2,723.768173323159,0,0,FALSE
"gene179",0.240148222261101,0.426298619398404,-147.230604376286,-150.6040928477,7,2,517.339121513201,0,0,FALSE
"gene180",0.95631914956929,0.975835866907439,-167.500626643387,-168.037972990726,7,2,824.991281277796,0,0,FALSE
"gene181",0.256322879076295,0.445494560485004,-140.425957261015,-143.700909031837,7,2,269.365480443171,0,0,FALSE
"gene182",0.148121125180379,0.301263305451618,-126.340044365623,-130.415416870971,7,2,178.846655201891,0,0,FALSE
"gene183",0.419245719139987,0.618483482384796,-161.85514441443,-164.341393723667,7,2,777.264444572758,0,0,FALSE
"gene184",0.668209863650239,0.813064900225003,-155.078280189927,-156.681446115929,7,2,437.602696002654,0,0,FALSE
"gene185",0.222425743285645,0.405722593558875,-157.003908365702,-160.491945781465,7,2,778.427945639082,0,0,FALSE
"gene186",0.291190477826194,0.480119368120027,-133.367611468703,-136.446379297376,7,2,178.488191810079,0,0,FALSE
"gene187",0.273018438715604,0.462743116467125,-161.146031674998,-164.324508040135,7,2,712.418481571577,0,0,FALSE
"gene188",0.327966953899194,0.526150193421166,-158.324998178129,-161.216220144791,7,2,665.835977512107,0,0,FALSE
"gene189",0.69736434600967,0.825283249715586,-165.924892037265,-167.433393481206,7,2,846.051139299469,0,0,FALSE
"gene190",0.767881968767929,0.886459012156251,-164.055184566341,-165.333702348207,7,2,619.998878944513,0,0,FALSE
"gene191",0.903356556520506,0.935473377120925,-163.490304767461,-164.281558579376,7,2,679.071249942786,0,0,FALSE
"gene192",0.871174041335776,0.923470026420637,-146.835183373178,-147.753811960233,7,2,356.695261216611,0,0,FALSE
"gene193",0.573321153278889,0.735577366635064,-108.371677558781,-110.28947400482,7,2,95.6536196650992,0,0,FALSE
"gene194",0.227018911859942,0.410275141915557,-164.595902022244,-168.053533945853,7,2,885.652257508287,0,0,FALSE
"gene195",0.0688246316523269,0.163220470321724,-133.424124185338,-138.541994697178,7,2,266.538076188682,0,0,FALSE
"gene196",0.783297667560889,0.887253631366565,-152.066660355714,-153.294022637146,7,2,498.115022915593,0,0,FALSE
"gene197",0.130228620936991,0.26988866606726,-114.906576869275,-119.162108966466,7,2,112.954064212646,0,0,FALSE
"gene198",0.29124692707345,0.480119368120027,-164.80480891566,-167.88327489709,7,2,758.24435064354,0,0,FALSE
"gene199",0.321999678846676,0.517961949887414,-141.484970826108,-144.405467880916,7,2,313.197119408454,0,0,FALSE
"gene200",0.905850053512096,0.935473377120925,-162.824702428547,-163.605517302795,7,2,721.890308056661,0,0,FALSE
"gene201",6.16520763506863e-10,5.36105011745098e-09,-140.760244206343,-166.618885477904,7,2,400.222306150609,0,0,FALSE
"gene202",8.59207885588043e-05,0.000444417871855884,-131.010390495986,-144.052771897323,7,2,213.689212699265,0,0,FALSE
"gene203",5.81478145193365e-15,9.42937532745997e-14,-152.232163273762,-190.221011735396,7,2,553.469623502031,0,0,FALSE
"gene204",0.0495398016547048,0.127025132447961,-137.960292834953,-143.507500708253,7,2,257.727161502829,0,0,FALSE
"gene205",7.64747544732289e-23,2.41499224652302e-21,-99.7513531414944,-156.475373812911,7,2,67.0554930086223,0,0,FALSE
"gene206",1.46598823245974e-53,2.19898234868961e-51,-138.690037832078,-267.357315207512,7,2,477.81344790827,0,0,FALSE
"gene207",4.90028656894762e-06,3.06267910559226e-05,-154.516434093624,-170.727543466913,7,2,520.009010740651,0,0,FALSE
"gene208",0.00310870259275787,0.0115137133065106,-168.391020311042,-177.327956583674,7,2,1035.10527537687,0,0,FALSE
"gene209",0.337656468873791,0.538813514160305,-168.45914081196,-171.303686072207,7,2,869.046361820174,0,0,FALSE
"gene210",2.56190904295228e-40,2.15295178440658e-38,-116.637734577402,-214.404888691785,7,2,165.087658204812,0,0,FALSE
"gene211",0.00091396274158766,0.00378191479277652,-151.657592709566,-162.0187587436,7,2,416.834939466446,0,0,FALSE
"gene212",3.90546070823134e-07,2.6960214061517e-06,-175.562751288267,-194.525517645915,7,2,1567.07465183474,0,0,FALSE
"gene213",0.000145231425420985,0.00070844597766334,-167.007165751553,-179.460533102999,7,2,854.924921525535,0,0,FALSE
"gene214",0.31832383814247,0.513425545391081,-152.423419426639,-155.362159346373,7,2,530.931362026191,0,0,FALSE
"gene215",5.45747540559315e-06,3.34131147281213e-05,-137.878501891357,-153.971616718876,7,2,259.681928976837,0,0,FALSE
"gene216",0.06200495079926,0.151231587315268,-137.961096899963,-143.216180926578,7,2,201.920936494789,0,0,FALSE
