"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"gene160",0.000259362905379138,0.00086454301793046,-137.732973383006,-149.53184171876,7,2,267.001608671597,0,0,FALSE
"gene161",0.558172174184637,0.627159746274873,-142.745684659811,-144.715389276804,7,2,328.329029591139,0,0,FALSE
"gene162",0.000293776466801599,0.000955370623745037,-150.806393604558,-162.464082717083,7,2,544.27024616846,0,0,FALSE
"gene163",0.160230889729116,0.240046276747739,-138.928825195126,-142.892982171543,7,2,346.47710649696,0,0,FALSE
"gene164",0.000761316011667256,0.00219083744364678,-165.864920916586,-176.436217626914,7,2,982.171035588049,0,0,FALSE
"gene165",0.000374229513225274,0.0011604015913962,-156.551396859683,-167.934203190924,7,2,544.673931788856,0,0,FALSE
"gene166",1.95193392491827e-17,3.39466769551003e-16,-131.418791362969,-175.315981954906,7,2,230.384998085097,0,0,FALSE
"gene167",1.07212147082566e-07,7.14747647217109e-07,-116.677135011241,-137.033761449555,7,2,130.176244565746,0,0,FALSE
"gene168",0.157511641503192,0.237753421136893,-141.94645518988,-145.934920284494,7,2,311.460285778742,0,0,FALSE
"gene169",1.74494703064548e-11,1.74494703064548e-10,-142.577121509235,-172.197021399547,7,2,446.426211619455,0,0,FALSE
"gene170",0.00864858465055829,0.0191128942553774,-152.869461022731,-160.588093743669,7,2,491.053923260047,0,0,FALSE
"gene171",0.032288593901828,0.0603525119660337,-166.273544429512,-172.368014836714,7,2,908.426325353455,0,0,FALSE
"gene172",0.0156611806853126,0.0317993516453047,-170.794863489533,-177.790795413847,7,2,1108.26222145972,0,0,FALSE
"gene173",0.125614466248441,0.198599946637851,-163.84085558067,-168.146447136394,7,2,831.296278164854,0,0,FALSE
"gene174",0.0010330118326641,0.0028895435878716,-143.409698107905,-153.629741731503,7,2,431.611801965685,0,0,FALSE
"gene175",3.7999946623168e-27,1.26666488743893e-25,-124.153173126949,-191.029909137029,7,2,217.280779759664,0,0,FALSE
"gene176",9.25545098209772e-06,4.02410912265118e-05,-156.086793288705,-171.599997833458,7,2,571.056654271954,0,0,FALSE
"gene177",2.06807483667129e-06,1.07432459047859e-05,-149.953630186423,-167.10726395491,7,2,586.720095596137,0,0,FALSE
"gene178",2.02484699032389e-30,8.99931995699508e-29,-134.929160272808,-209.504292357781,7,2,343.903249029846,0,0,FALSE
"gene179",0.059686627350146,0.105640048407338,-166.989624628912,-172.294588021958,7,2,785.95629561188,0,0,FALSE
"gene180",0.0060051357729433,0.0141297312304548,-160.944688803843,-169.101162520794,7,2,707.116537735642,0,0,FALSE
"gene181",3.01385365665181e-32,1.50692682832591e-30,-116.836901997258,-195.702295053573,7,2,147.370414643078,0,0,FALSE
